Elapsed Time = 1.578199368seconds
Documents               Scores
doc(42).txt            2.456369901509529
doc(4).txt            2.2884172465202974
doc(40).txt            2.220849004231707
doc(30).txt            2.1851444315615467
doc(44).txt            2.1750003353523866
doc(23).txt            2.1038147899119206
doc(5).txt            2.0894568759564573
doc(22).txt            2.0706495804627782
doc(1).txt            1.9786407335574787
doc(31).txt            1.9327279912920687
doc(12).txt            1.7679965791360095
doc(26).txt            1.5864285015074724
doc(6).txt            1.5688579810600922
doc(38).txt            1.5508546738966404
doc(36).txt            1.5259516130237665
doc(11).txt            1.4856707340163147
doc(39).txt            1.4567849258042025
doc(7).txt            1.3711297505551383
doc(46).txt            1.3523253394251276
doc(52).txt            1.3410296886770139
doc(8).txt            1.3200398090419787
doc(34).txt            1.3139541382897941
doc(50).txt            1.2885666937351576
doc(43).txt            1.27977406349641
doc(49).txt            1.2202447436200718
doc(45).txt            1.218256158815626
doc(48).txt            1.214895051037706
doc(27).txt            1.1876765404332854
doc(18).txt            1.1511263528885771
doc(32).txt            1.1391017151001888
doc(24).txt            1.1363812529715664
doc(33).txt            1.1103632372560055
doc(21).txt            1.0562555173111754
doc(20).txt            0.9375204323307387
doc(2).txt            0.9029975738220896
doc(41).txt            0.9017769290837064
doc(15).txt            0.8010410160992983
doc(25).txt            0.21782251341560463
doc(37).txt            0.2159296705826521
doc(14).txt            0.20578821840424208
doc(0).txt            0.2029948099021203
doc(10).txt            0.19771728479453923
doc(51).txt            0.1908873117449283
doc(19).txt            0.18856501021076513
doc(16).txt            0.18852864781154385
doc(35).txt            0.1576345598048552
doc(29).txt            0.156294622061424
doc(13).txt            0.15625036915261492
doc(9).txt            0.15284086906027466
doc(3).txt            0.14601020308541623
doc(28).txt            0.0
doc(17).txt            0.0
doc(47).txt            0.0
